원천도형ID,읍면동코드,읍면동명,데이터기준일자,제공기관코드,제공기관명
4277036021,42770360,화암면 화암리,2019-06-30,4290000,강원도 정선군
4277035034,42770350,임계면 문래리,2019-06-30,4290000,강원도 정선군
4277035032,42770350,임계면 반천리,2019-06-30,4290000,강원도 정선군
4277035031,42770350,임계면 고양리,2019-06-30,4290000,강원도 정선군
4277035030,42770350,임계면 덕암리,2019-06-30,4290000,강원도 정선군
4277035028,42770350,임계면 용산리,2019-06-30,4290000,강원도 정선군
4277035027,42770350,임계면 낙천리,2019-06-30,4290000,강원도 정선군
4277035026,42770350,임계면 봉산리,2019-06-30,4290000,강원도 정선군
4277035025,42770350,임계면 송계리,2019-06-30,4290000,강원도 정선군
4277035024,42770350,임계면 임계리,2019-06-30,4290000,강원도 정선군
4277035023,42770350,임계면 직원리,2019-06-30,4290000,강원도 정선군
4277035022,42770350,임계면 도전리,2019-06-30,4290000,강원도 정선군
4277035021,42770350,임계면 가목리,2019-06-30,4290000,강원도 정선군
4277034026,42770340,북평면 숙암리,2019-06-30,4290000,강원도 정선군
4277034025,42770340,북평면 나전리,2019-06-30,4290000,강원도 정선군
4277034024,42770340,북평면 문곡리,2019-06-30,4290000,강원도 정선군
4277034023,42770340,북평면 남평리,2019-06-30,4290000,강원도 정선군
4277034022,42770340,북평면 북평리,2019-06-30,4290000,강원도 정선군
4277034021,42770340,북평면 장열리,2019-06-30,4290000,강원도 정선군
4277032025,42770320,남면 광덕리,2019-06-30,4290000,강원도 정선군
4277032024,42770320,남면 낙동리,2019-06-30,4290000,강원도 정선군
4277032023,42770320,남면 유평리,2019-06-30,4290000,강원도 정선군
4277032022,42770320,남면 무릉리,2019-06-30,4290000,강원도 정선군
4277032021,42770320,남면 문곡리,2019-06-30,4290000,강원도 정선군
4277025928,42770259,신동읍 운치리,2019-06-30,4290000,강원도 정선군
4277025927,42770259,신동읍 덕천리,2019-06-30,4290000,강원도 정선군
4277025926,42770259,신동읍 고성리,2019-06-30,4290000,강원도 정선군
4277025925,42770259,신동읍 가사리,2019-06-30,4290000,강원도 정선군
4277025924,42770259,신동읍 방제리,2019-06-30,4290000,강원도 정선군
4277025923,42770259,신동읍 조동리,2019-06-30,4290000,강원도 정선군
4277025922,42770259,신동읍 천포리,2019-06-30,4290000,강원도 정선군
4277025921,42770259,신동읍 예미리,2019-06-30,4290000,강원도 정선군
4277025622,42770256,사북읍 사북리,2019-06-30,4290000,강원도 정선군
4277025621,42770256,사북읍 직전리,2019-06-30,4290000,강원도 정선군
4277025321,42770253,고한읍 고한리,2019-06-30,4290000,강원도 정선군
4277025032,42770250,정선읍 가수리,2019-06-30,4290000,강원도 정선군
4277025031,42770250,정선읍 귤암리,2019-06-30,4290000,강원도 정선군
190,47113105,여천동,2018-01-11,AAAAAAA,공공데이터활용지원센터
191,47113101,대흥동,2018-01-11,AAAAAAA,공공데이터활용지원센터
192,47113106,중앙동,2018-01-11,AAAAAAA,공공데이터활용지원센터
195,47113360,기북면,2018-01-11,AAAAAAA,공공데이터활용지원센터
529,47130114,충효동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1849,47130621,황성동,2018-01-11,AAAAAAA,공공데이터활용지원센터
536,47130101,동부동,2018-01-11,AAAAAAA,공공데이터활용지원센터
497,47130132,마동,2018-01-11,AAAAAAA,공공데이터활용지원센터
499,47130350,서면,2018-01-11,AAAAAAA,공공데이터활용지원센터
2482,47170138,석동동,2018-01-11,AAAAAAA,공공데이터활용지원센터
228,47170112,동부동,2018-01-11,AAAAAAA,공공데이터활용지원센터
231,47170134,이천동,2018-01-11,AAAAAAA,공공데이터활용지원센터
229,47170113,운흥동,2018-01-11,AAAAAAA,공공데이터활용지원센터
3,46170118,석현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
92,46170116,대호동,2018-01-11,AAAAAAA,공공데이터활용지원센터
197,47113117,용흥동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1217,47113112,학산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
198,47111113,호동,2018-01-11,AAAAAAA,공공데이터활용지원센터
501,47130138,암곡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
502,47130135,천군동,2018-01-11,AAAAAAA,공공데이터활용지원센터
500,47130103,북부동,2018-01-11,AAAAAAA,공공데이터활용지원센터
1841,47170130,성곡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
205,47170104,명륜동,2018-01-11,AAAAAAA,공공데이터활용지원센터
180,47170123,화성동,2018-01-11,AAAAAAA,공공데이터활용지원센터
204,47170121,당북동,2018-01-11,AAAAAAA,공공데이터활용지원센터
206,47170139,정상동,2018-01-11,AAAAAAA,공공데이터활용지원센터
93,46170119,청동,2018-01-11,AAAAAAA,공공데이터활용지원센터
94,46170122,삼도동,2018-01-11,AAAAAAA,공공데이터활용지원센터
199,47111115,지곡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
200,47111105,청림동,2018-01-11,AAAAAAA,공공데이터활용지원센터
503,47130140,북군동,2018-01-11,AAAAAAA,공공데이터활용지원센터
504,47130141,손곡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
505,47130122,구황동,2018-01-11,AAAAAAA,공공데이터활용지원센터
512,47130131,구정동,2018-01-11,AAAAAAA,공공데이터활용지원센터
513,47130340,산내면,2018-01-11,AAAAAAA,공공데이터활용지원센터
102,44150123,월미동,2018-01-11,AAAAAAA,공공데이터활용지원센터
114,44150111,봉정동,2018-01-11,AAAAAAA,공공데이터활용지원센터
115,44150102,봉황동,2018-01-11,AAAAAAA,공공데이터활용지원센터
121,44150112,주미동,2018-01-11,AAAAAAA,공공데이터활용지원센터
117,46170130,운곡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
118,46170131,동수동,2018-01-11,AAAAAAA,공공데이터활용지원센터
201,47111108,송내동,2018-01-11,AAAAAAA,공공데이터활용지원센터
202,47111110,동촌동,2018-01-11,AAAAAAA,공공데이터활용지원센터
514,47130123,보문동,2018-01-11,AAAAAAA,공공데이터활용지원센터
515,47130105,황오동,2018-01-11,AAAAAAA,공공데이터활용지원센터
122,44150113,태봉동,2018-01-11,AAAAAAA,공공데이터활용지원센터
482,46150124,대룡동,2018-01-11,AAAAAAA,공공데이터활용지원센터
483,46150380,낙안면,2018-01-11,AAAAAAA,공공데이터활용지원센터
83,46230104,성황동,2018-01-11,AAAAAAA,공공데이터활용지원센터
85,46230109,태인동,2018-01-11,AAAAAAA,공공데이터활용지원센터
87,46230108,광영동,2018-01-11,AAAAAAA,공공데이터활용지원센터
88,46230110,금호동,2018-01-11,AAAAAAA,공공데이터활용지원센터
203,47111112,인덕동,2018-01-11,AAAAAAA,공공데이터활용지원센터
204,47111111,장흥동,2018-01-11,AAAAAAA,공공데이터활용지원센터
205,47111109,괴동동,2018-01-11,AAAAAAA,공공데이터활용지원센터
207,47111256,오천읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
208,47111103,해도동,2018-01-11,AAAAAAA,공공데이터활용지원센터
209,47113108,덕수동,2018-01-11,AAAAAAA,공공데이터활용지원센터
210,47111310,대송면,2018-01-11,AAAAAAA,공공데이터활용지원센터
221,47111253,연일읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
2161,47113350,죽장면,2018-01-11,AAAAAAA,공공데이터활용지원센터
3825,47111250,구룡포읍,2018-01-11,AAAAAAA,공공데이터활용지원센터
507,47130137,덕동,2018-01-11,AAAAAAA,공공데이터활용지원센터
508,47130139,황용동,2018-01-11,AAAAAAA,공공데이터활용지원센터
