육교명,도로종류,도로노선번호,도로노선명,소재지도로명주소,위도,경도,육교연장,육교높이,허용통행하중,통행제한높이,육교폭,난간높이,조명개수,장애인편의시설설치여부,장애인편의시설종류,장애인편의시설수량,부대시설종류,부대시설수량,육교준공일자,내진설계적용여부,안전등급,사용제한구분,육교보수보강내역,최종안전점검유형,최종안전점검일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
장수사거리,구도,대1-14,대1-14,인천광역시 남동구 수인로 3718,37.449551,126.748905,25.5,,,4.8,4,,,Y,경사로,2,,,2001-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
운연동 육교,구도,광3-7,광3-7,인천광역시 남동구 수인로 3548,37.443399,126.765336,30.5,,,4.8,4,,,Y,경사로,2,,,2000-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
논현1택지,구도,대1-13,대1-13,인천광역시 남동구 함박뫼로 439,37.410553,126.713031,39.8,,,5,6,,,Y,경사로,2,,,1998-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
도림,구도,광3-6,광3-6,인천광역시 남동구 도리미로 1번길,37.421407,126.729529,43.3,,,5,4,,,Y,경사로,2,,,1998-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
남동관문교,구도,광3-7,광3-7,인천광역시 남동구 소래로 652,37.448191,126.734011,118,,,4.7,4,,,Y,경사로,4,,,1997-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
남동정수장,구도,대1-14,대1-14,인천광역시 남동구 담방로 105,37.451488,126.738801,43.6,,,4.8,4,,,Y,경사로,2,,,1996-01-01,,양호,제한없음,-,정기점검,2019-12-30,남동구,2020-03-20,3530000,인천광역시 남동구
가곡초교입구보도육교,시도,5103,강서로,서울특별시 강서구 발산동655-10,37.556773,126.836942,32,5,0,5,4,1.2,2,Y,없음,0,엘리베이터,2,2005-08-01,N,양호,제한없음,바닥포장및도장,정기점검,2019-09-09,서울특별시 강서구청 도로과,2019-12-18,3150000,서울특별시 강서구
스카이파크보도육교,시도,42,개화동로,서울특별시 강서구 방화동620-260,37.563795,126.806728,54,4.7,0,4.7,4.5,1.2,2,Y,없음,0,엘리베이터,1,2011-11-01,N,양호,제한없음,없음,정기점검,2019-09-09,서울특별시 강서구청 도로과,2019-12-18,3150000,서울특별시 강서구
증미역연결보도육교,구도,없음,양천로,서울특별시 강서구 가양동449-27,37.558829,126.861266,60,3,0,3,4,1.2,2,N,없음,0,없음,0,2010-12-07,N,양호,제한없음,없음,정기점검,2019-09-09,서울특별시 강서구청 도로과,2019-12-18,3150000,서울특별시 강서구
권곡육교,기타,해당없음,문화로,충청남도 아산시 문화로,36.790298,127.102733,,,,4.5,,,,Y,경사로,,,,, ,보통,제한없음,,정밀점검,2017-08-09,아산시청,2019-09-23,4520000,충청남도 아산시
천도육교,일반국도,45호,문화로,충청남도 아산시 문화로,36.7877258,126.990613,,,,4.8,,,,Y,경사로,,,,, ,보통,제한없음,,정밀점검,2017-08-09,아산시청,2019-09-23,4520000,충청남도 아산시
권곡초교육교,기타,해당없음,문화로,충청남도 아산시 문화로,36.7898461,127.0134712,,,,4.5,,,,Y,경사로,,,,, ,양호,제한없음,,정밀점검,2017-08-09,아산시청,2019-09-23,4520000,충청남도 아산시
장항선육교,기타,해당없음,철도횡단,충청남도 아산시 풍기동 212-2,36.7776938,127.017152,,,,7.5,,,,Y,엘리베이터,,,,, ,양호,제한없음,,정밀점검,2017-08-09,아산시청,2019-09-23,4520000,충청남도 아산시
풍기초육교,기타,해당없음,남부로,충청남도 아산시 어의정로 184,36.7728113,127.016162,,,,4.5,,,,N,없음,,,,, ,보통,제한없음,,정밀점검,2017-08-09,아산시청,2019-09-23,4520000,충청남도 아산시
공수육교,기타,해당없음,철도횡단,충청남도 아산시 배방읍 공수리 67-30,36.7741926,127.0609687,,,,7.5,,,,N,없음,,,,, ,보통,사용금지,,정밀점검,2017-08-09,아산시청,2019-09-23,4520000,충청남도 아산시
남동육교,기타,624호,온천대로,충청남도 아산시 배방읍 온천대로,36.7804883,127.0512396,,,,4.8,,,,N,없음,,,,, ,보통,철거,,정밀점검,2017-08-09,아산시청,2019-09-23,4520000,충청남도 아산시
호계3동 대림(아) 앞 육교,일반국도,국도1호선,경수대로,경기도 안양시 동안구 경수대로 446,37.3632713,126.960806,45.6,5.5,,5,4,1.1,,Y,승강기,1,,,2003-12-27,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
호계3동주민센터 앞 육교,일반국도,국도1호선,경수대로,경기도 안양시 동안구 경수대로 504,37.3677842,126.9588632,45.6,5,,4.3,4,1.1,,Y,승강기,1,,,2004-02-08,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
범계동 신동아(아) 앞 육교,시도,국도1호선,경수대로,경기도 안양시 동안구 경수대로 721,37.3858624,126.9504651,45,5,,4.5,4,1.1,,Y,승강기,1,,,1993-06-19,N,양호,제한없음,,정기점검,2019-04-12,동안구 건설과,2019-09-16,3830000,경기도 안양시
문화예술회관육교,시도,1번,호남선,전라남도 목포시 남농로 95,34.7926162,126.4178012,70,4.5,,4.5,4.6,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2018-07-07,목포시청,2020-01-28,4800000,전라남도 목포시
옥암자전거육교,시도,2번,호남선,전라남도 목포시 남악로 22-14,34.8022406,126.4398618,257,6.2,,5,4,,,Y,경사로,,,,, ,양호,제한없음,,정기점검,2018-07-07,목포시청,2020-01-28,4800000,전라남도 목포시
안남초등학교 앞 육교,특별시도,0,연안로,부산광역시 동래구 연안로 45-2,35.191916,129.107461,33,5,,5,3,1.2,,N,없음,,,,2005-01-01, ,양호,제한없음,,정기점검,2019-06-19,동래구청,2020-01-16,3300000,부산광역시 동래구
