산코드,산명,등산로순번,등산로명,등산로주요지점내용,등산로길이,등산로난이도명,등산로상행시간,등산로하행시간,등산로재질내용,등산로통제여부,등산로폐쇄여부,등산로위험구간내용,등산로추천여부,데이터기준일자,제공기관코드,제공기관명
448100301,가야산,15,황락저수지~석문봉,,1.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
448100301,가야산,16,개심사~석문봉,,3,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,소탐산,19,수석동~정수장,,1.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442101901,연암산,20,천장사~연암산~삼준산~천장사,,5.1,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,삼준산,21,해미면 대곡리 ~ 삼준산,,5.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442102401,팔봉산,22,양길리~어송리 주차장,,3.9,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442102401,팔봉산,23,1봉~3봉,,0.7,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,황금산,24,주차장~끝골,,1.2,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,황금산,25,쉼터~코끼리바위,,0.43,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,황금산,26,쉼터~굴금,,0.21,,,,,,,,,2020-07-01,4530000,충청남도 서산시
442100000,황금산,27,쉼터~정상~주차장,,0.62,,,,,,,,,2020-07-01,4530000,충청남도 서산시
451400101,미륵산,1,,,1.9,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400102,미륵산,2,,,1.6,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400103,미륵산,3,,,1.8,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400104,미륵산,4,,,1.5,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400105,미륵산,5,,,1.9,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400106,미륵산,6,,,1.7,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400107,미륵산,7,,,1,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400108,미륵산,8,,,2.4,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400109,미륵산,9,,,1.1,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400110,미륵산,10,,,2.4,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400111,미륵산,11,,,2.2,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400112,미륵산,12,,,1.5,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400201,용화산,1,,,2.7,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400202,용화산,2,,,1.6,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400203,용화산,3,,,1.7,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400204,용화산,4,,,2.4,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400205,용화산,5,,,2.8,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400301,함라산,1,,,6,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400302,함라산,2,,,4,,,,,,,,,2020-07-01,4680000,전라북도 익산시
451400303,함라산,3,,,2,,,,,,,,,2020-07-01,4680000,전라북도 익산시
418303101,용문산,1,용문산,주차장-용문사-마당바위-정상,4,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303101,용문산,2,용문산,주차장-용문사-상원사-장군봉-정상,3,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303101,용문산,3,용문산,주차장-용문사-암릉-석문-정상,3,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418303101,용문산,4,용문산,연수리-상원사-장군봉-정상,3,,180,,,,,,,2020-06-16,4170000,경기도 양평군
418304701,백운봉,5,백운봉,새수골-헬기장-정상,2.5,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418304701,백운봉,6,백운봉,쉬자파크-두리봉-정상,2.5,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418304701,백운봉,7,백운봉,연수리-수득골 백운암-형제약수터-정상,1.8,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418304701,백운봉,8,백운봉,사나사-함왕성-정상,2.2,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418303701,중원산,10,중원산,상현마을-중원계곡-정상,2.5,,120,,,,,,,2020-06-16,4170000,경기도 양평군
418303701,중원산,11,중원산,상현마을-정상,2.2,,120,,,,,,,2020-06-16,4170000,경기도 양평군
