시도명,시군구명,지반침하지역상세,위도,경도,발생일자,발생규모면적,발생규모연장,발생규모깊이,발생지역지질종류,최초발생원인,피해사망자수,피해부상자수,피해차량대수,복구상태,복구방법,복구비용,복구완료일자,데이터기준일자,제공기관코드,제공기관명
충청북도,충주시,중원대로3282,36.960766,127.924789,2018-06-22,0.2,0.2,0.2,,오수관 파손,0,0,0,복구완료,오수관로 점검 조사 및 보수(포장),,2018-06-22,2019-11-11,4390000,충청북도 충주시
충청북도,충주시,봉현로102,36.977193,127.914947,2018-05-23,0.3,0.3,0.3,,오수 연결관 접합부 불량,0,0,0,복구완료,오수관로 점검 조사 및 보수(포장),,2018-05-23,2019-11-11,4390000,충청북도 충주시
충청북도,충주시,교동5길29,36.974247,127.936132,2018-05-22,0.8,0.8,0.5,,우수 연결관 접합부 불량,0,0,0,복구완료,우수관로 점검 조사 및 보수(포장),,2018-05-22,2019-11-11,4390000,충청북도 충주시
충청북도,충주시,남산6길1,36.964786,127.940829,2018-04-18,0.2,0.2,0.3,,우수 연결관 접합부 불량,0,0,0,복구완료,우수관로 점검 조사 및 보수(포장),,2018-04-25,2019-11-11,4390000,충청북도 충주시
충청북도,충주시,사직로116,36.967318,127.923302,2018-03-28,0.1,0.1,0.1,,우수박스 슬라브 파손,0,0,0,복구완료,우수박스관로 정비후 포장,,2018-03-30,2019-11-11,4390000,충청북도 충주시
충청북도,충주시,시청로14,36.988606,127.923934,2018-02-14,0.3,0.3,0.5,,우수관 접합부 불량,0,0,0,복구완료,우수관로 점검 조사 및 보수(포장),,2018-02-23,2019-11-11,4390000,충청북도 충주시
전라남도,여수시,공화동 1184-22 도,34.747618,127.741511,2018-06-05,1,1,0.1,기타,지반침하,0,0,0,복구완료,원인자 복구,0,2018-06-14,2019-09-30,4810000,전라남도 여수시
전라남도,여수시,무선7길 18-6 도,34.775200,127.652447,2018-05-16,0.5,0.5,0.1,기타,지반침하,0,0,0,복구완료,원인자 복구,0,2018-05-16,2019-09-30,4810000,전라남도 여수시
강원도,강릉시,강릉대로171번길 17,37.759047,128.888611,2019-11-29,,0.1,1,,상수관손상,0,0,0,복구완료,다짐/포장,0,2019-12-03,2020-03-19,4200000,강원도 강릉시
울산광역시,남구,신남로83,35.528718,129.312878,2017-06-30,,2,0.5,,노후 하수관 파손으로 인한 토사유실,0,0,0,복구완료,침하 발견 즉시 긴급 조치 실시/ 해당관로 관교체(L=40m) 공사 실시(2017.7.10.)/ 해당구간 복구포장 실시(2017.7.26.),,2017-07-26,2020-03-25,6310000,울산광역시
울산광역시,동구,솔밭삼거리 일원,35.527329,129.433209,2017-06-25,,0.6,2,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,남구,용연사거리,35.469103,129.359861,2017-04-29,,0.2,0.5,,관로파손,0,0,0,복구완료,관로보수,,,2020-03-25,6310000,울산광역시
울산광역시,남구,황성동 130-2번지,35.870945,129.218233,2017-04-26,,2.5,1.5,,노후 하수관 파손으로 인한 토사유실,0,0,0,복구완료,침하 발견 즉시 침하원인 굴착 확인/ 해당관로 관교체(L=10m) 공사 실시(2017.4.26),,2017-04-26,2020-03-25,6310000,울산광역시
경상남도,거제시,거제중앙로 1889,34.886809,128.623868,2018-06-14,,0.3,0.5,,노후관로 손상에 의한 동공발생 및 지반침하,0,0,0,복구완료,누수 및 지반복구,,2018-06-19,2020-03-20,5370000,경상남도 거제시
경상남도,거제시,일운면 소동리 소동고개,34.834994,128.694012,2018-03-13,,0.5,0.3,,상수관로 매설공사 구간 굴착부분 다짐 불량,0,0,0,복구완료,재다짐 시행,,2018-03-15,2020-03-20,5370000,경상남도 거제시
경상남도,거제시,장승포동 두모로타리,34.869653,128.722849,2018-02-19,,0.5,0.2,,노후관로 접합부 손상으로 누수 및 토사 유실,0,0,0,복구완료,누수 접합부 복구,,2018-02-22,2020-03-20,5370000,경상남도 거제시
경상남도,거제시,일운면 지세포리 416-17,34.829461,128.710835,2018-02-26,,3.5,1.5,,해안도로 호안옹벽 기초세굴에 따른 포장도로 지반 유실,0,0,0,복구완료,"아스콘 포장 및 방호벽, 우수받이 설치",,2018-04-20,2020-03-20,5370000,경상남도 거제시
경기도,수원시,팔달구 수원시청역 사거리 교차로 내,37.261649,127.031851,2018-10-10,,1.5,0.1,,지하철 공사 시 복구 불량,0,0,0,복구완료,골재 치환,,2018-10-11,2020-03-13,3740000,경기도 수원시
경기도,수원시,팔달구 수원시청역 사거리 교차로 내,37.261606,127.031786,2018-08-29,,4,0.2,,지하철 공사 시 복구 불량,0,0,0,복구완료,골재 치환,,2018-08-30,2020-03-13,3740000,경기도 수원시
경상남도,사천시,대방동 752,34.932049,128.059913,2017-04-07,,0,1,기타,우수관로 및 집수정 노후파손으로 인한 토사 유실,0,0,0,복구완료,집수정 교체 및 침하구간 복구,9000000,2017-04-16,2020-03-09,5340000,경상남도 사천시
경기도,안양시,동안구 부림로 32,37.387740,126.969803,2019-08-08,0.7,0.7,0.5,,하수관파손에 따른 토사유실,0,0,0,복구완료,,,2019-08-08,2019-08-31,3830000,경기도 안양시
경기도,안양시,만안구 안양로 190,37.390812,126.928410,2019-08-03,1,1,1,,하수관파손에 따른 토사유실,0,0,0,복구완료,,,2019-08-03,2019-08-31,3830000,경기도 안양시
경기도,안양시,동안구 호계동 1014-1,37.386831,126.946697,2018-06-28,1,1,1,,하수관 접합부위 파손에 따른 토사 유실,0,0,0,복구완료,,,2018-06-29,2019-08-31,3830000,경기도 안양시
